典拠	東島通商語	日本語直訳	和訳	英訳		
紙机戦の書	ZO MOL JO BELPIC LETI POLTO		遊戯中に駒がある場所			
紙机戦の書	積 TULIJO E NIP XELIT LETI ZO CET.	【積】とは、見ない駒たちである。	山札（【積】：ツリヨ）とは、伏せられた駒たちである。			
紙机戦の書	KA MOL JO AUC LETI LATA {⌛簡単に} LETIT LETI POLTO.		全ての人が簡単に取れる場所にある。			
紙机戦の書	手片 KOPZO E PANLETI LATA LETI LETIT LETI ZO CET.		手札（【手片】；コプツォ）とは、一人の人が持っている駒たちである。			
紙机戦の書	付 XELLETI E ETLETI LATA CENE XELIT LETI ZO CET PI MOL JO PANKALETI POLTO.		公開札（【付】；シェルレティ）とは、他の人が見ることができる駒たちであり、良い場所にある。			
紙机戦の書	LATA CET LETI PULONLETI		人々の役割			
紙机戦の書	軸人 {⌛}		親			
紙机戦の書	周人 {⌛}		子			
紙机戦の書	BELPIC LETI PANLETI NOLE	遊びのひとつの時間	遊戯におけるひとかたまりの時間的単位			
紙机戦の書	日 {⌛}		ラウンド（【日】）			
紙机戦の書	周 {⌛}		{⌛ここマジで解釈がわかりません}			
紙机戦の書	季 XOT		季節（【季】：ショッ）			
紙机戦の書	戦 {⌛}		ゲーム（【戦】）			
紙机戦の書	KIN CET		いろいろな得点			
紙机戦の書	位値 {⌛}		親の加点（【位値】）			
紙机戦の書	{⌛軸人のみが持つ値。初期は２で、一勝ごとに１ずつ加算される。}		軸人のみが持つ値。初期は２で、一勝ごとに１ずつ加算される。			
紙机戦の書	終値		終了点（【終値】）			
紙机戦の書	{⌛季を終えることに得られる得点。}		季を終えることに得られる得点。			
紙机戦の書	加値 {⌛}		ボーナス点（【加値】）			
紙机戦の書	{⌛終値に加点される得点。}		終値に加点される得点。			
紙机戦の書	時値 NOLE LETI KIN		臨時点（【時値】）			
紙机戦の書	CEPKULANTE CET		諸ルール			
紙机戦の書	行戦 MOKAIK		行戦（【行戦】：モカイク）			
紙机戦の書	MOKAIK E TUDE JO {⌛戦い} LETI BELPIC.		モカイクは、戦いに行く遊戯である。			
紙机戦の書	{⌛}		{⌛}			
紙机戦の書	TAXOT		タショト			
紙机戦の書	NIJEKI		ニイェキ			
紙机戦の書	MAKAIK		マカイク			
紙机戦の書	MAKUP		マクプ			
机戦指し始め	CETKAIK LETI PAC IT LETI CUL		机戦を指し始める方法			
机戦指し始め	KALETI KULANTE E KAME?		この書はなにか？			
机戦指し始め	JO CETKAIK CENE IT CET JULO PI PANLETI TUDELETI JULO E PANKALETI PI ETLETI TUDELETI JULO E NUPANKALETI. 		机戦においては、最初から多くのことができ、ある動きは良く、他の動きは悪い。			
机戦指し始め	JO KALETI KULANTE XELIT AUC LETI PAC IT LETI CUL PI LAUZAIT LUKUP-LUKUP JO AUC.		この本では、全ての指し始め方法を見て、全てについて論を組む。			
机戦指し始め	AUC LETI PAC IT LETI CUL		指し始め方法すべて			
机戦指し始め	CO LETIT LUDECLETI CAUPLA PI AUC LETI PAC IT LETI CUL E KA.		あなたが赤い王を持っているとき、以下が全ての指し始め方法である。			
机戦指し始め	NIP KANTEIT TUDE KECO KA筆LAKA LETI NIP IT LETI TUDELETI JULO.		KA筆LAKA などの、無為な動きは書かない。			
机戦指し始め	JO KECO ZA王ZE AT ZA王TEZE MAKLETI NUWAXECLETI CUL MOL NOLE KANTEIT TUDE PANLETI CUL.		ZA王ZE と ZA王TEZE などの、2 つの同一の方法があるときは、1 つの方法だけを書く。			
机戦指し始め	COLETI 馬 E TUDE JO PO-MO-LO-KO PI 馬 E TUDE PI COLETI 馬 DELU E TUDE JO KOPZO. 	あなたの馬が PO-MO-LO-KO に行くと、馬が行って、あなたの馬は手駒に行かざるを得ない。	あなたの馬が PO-MO-LO-KO に行くと、（相手の）馬がそこに行って、あなたの馬は取られてしまう。			
机戦指し始め	JO TANNA COLETI 馬 NIP DELU E TUDE JO KOPZO PI JO KALETI NOLE CO LETIT KIJE TANKE LETI 馬.	タンナではあなたの馬は手駒に行くとは限らず、いまあなたはタンケの馬を持っている。	入水できていれば、相手はあなたの馬を取れない可能性があり、かつ（そこは初期位置の皇に隣接しているマスであるため）馬に皇効をあてることができる。			
机戦指し始め	{⌛}		が、取りに行けるのは兵か将か馬しかなく、相手の駒を取った後に確実に馬が取られる。そもそも入水できなければ無駄だ。双方が入水判定に成功すれば馬が取られる。自分だけ成功しても二つの馬がKOPZOに行くのみだ。			
机戦指し始め	JO KALETI NALU 馬 LETI TUDELETI JULO CET E NUPANKALETI CUL. 	このため、馬が移動する方法たちは、よくない方法である。	このため、馬を動かすのは悪手である。			
机戦指し始め	COLETI 車 E TUDE PI 車 E TUDE PI COLETI 車 DELU E TUDE JO KOPZO. 		あなたの車が移動すると、（相手の）車が移動し、あなたの車は取られてしまう。			
机戦指し始め	{⌛}		が、相手の車は逃げるのが難しいという点が異なる。水に入るのは皇処之兵の効きなので、相手は兵か筆を狙うしかすることがない。ということで、車が車を取ったあとPUやKUに兵を動かすと、相手の車はできることがない。			
机戦指し始め	{⌛}		皇がZ筋を離れるのもよくない。ZAI船ZIZAで投げ棒2以上で王を取られてしまうからだ。ZEに行くとZAI船ZIがあり、他の駒でこの船を取ろうと思うと入水判定が必要だし、かといって放置すると皇効で船が逃げてしまい損である。			
机戦指し始め	PIJUME CEMOKOIT TAN. 		船が皇を踏越えする。			
机戦指し始め	CET NUPANKALETI CUL		とてもよくない方法			
机戦指し始め	{⌛}		{⌛}			
2021年始ご挨拶	pankaleti lot delu mol!		良い年あれ！			
2021年始ご挨拶	jo launza leti lot kude e xep tude pi unde e zakan-zakanleti.		去年において病気が流行し、世界が混乱した。			
2021年始ご挨拶	pi jo nippon lata cet it cetkaik pi ticotit pankaleti pi		しかしながら日本においても人々が机戦を行っていることを良いと思い、			
2021年始ご挨拶	it cetkaik leti lata leti kin e tude jo xep polto pi mi cet ticotit pankaleti cila pi celene mi cet e co cet e pankaleti.		机戦をする人が増えていることは我々は大変良いと思い、そしてあなた方も良いものであるとしたい。			
2021年始ご挨拶	metica jo kaleti lot co ticotit pankaleti jo mi cet a.		今年もよろしくお願いします。			
我々の文化オープニング	MO, KA E PANLETI POLTO LETI NUKIL PI E JO KA MOL LATA CET LETI LATAWELKEL.	文化、それは一つの場所の心であり、そこにいる人たちの栄養である。	文化、それはその地の心であり、その地に生きる人々の栄養である。	Culture: it is the soul of a place and the nourishment of the people who live there.		
我々の文化オープニング	TICOTIT KIJE MO PI CILA, LATA CET CENE IT LATA.	文化を知ってこそ、人々は人間をすることができる。	文化を知ってこそ人々は人間らしく生きることができる。	It is only by knowing the culture that people can live as human beings.		
我々の文化オープニング	LUCIT KALETI MO PI LATA AT LATA E PALBIC PI, CENE E TUDE JO CETIT LETI NUKILPANKALETI JULO CILA.	その文化を使って人と人は繋がり、より心の良いさまへ行くことができるのだ。	その文化によって人と人は結びつき、より幸せに生きることができる。	It is through culture that people are able to connect with each other and live happier lives.		
我々の文化オープニング	JO KALETI ACIL, MI CET XELIT JO MO ULECENLETI ZICEDOL, PENULLETI LATA LAUZAIT LETI ZICEDOL. ZIXO MI CET XOPE XELIT KALETI NOLE LETI LATA CET LETI TELEC.	この番組で私たちは文化に隠れている歴史、昔の人が作った歴史を見る。さらに私たちは、今の人々の営みも見る。	この番組では、その文化の裏にある歴史や、昔の人々が作った歴史、さらに今の人々の営みを見ていく。	In this program, we will look at the history behind the culture, the history created by the people of the past, and the activities of the people of today.		
我々の文化オープニング	MI CET LETI MO	我々の文化	我々の文化	Our Culture		
我々の文化オープニング	AIL MO LETI CEP KANTELIT PI LAUZAIT LETI ACIL	アイルの文化の役所が書き、作った番組	製作・著作　アイル文化省	Production / Author: Ai'r Republic's Ministry of Culture		
我々の文化3机戦の歴史	3. CETKAIK LETI ZICEDOL	3. 机戦の歴史	3. 机戦の歴史	3. History of Cetkaik		
我々の文化3机戦の歴史	CETKAIK, AUC LETI LATA DELU TICOTIT KILE LETI PENULLETI BELPIC.	机戦、全ての人が知っているはずの古い遊び。	机戦、皆さんご存知の伝統ゲーム。	Cetkaik, a traditional game that you all know.		
我々の文化3机戦の歴史	TUDEIT ZO PI LETIT ZO PI LETIT KIN.	駒を動かし、駒を得て、点を得る。	駒を進め、駒を集め、点を集める。	Advance the pieces, collect the pieces, and collect the points:		
我々の文化3机戦の歴史	MO MOL JO KA PI E ENLADELETI BELPIC.	これには文化があって、（これは）興奮する遊びです。	そんな文化的でスリリングなこのゲームですが、	it's such a cultural and thrilling game,		
我々の文化3机戦の歴史	XEP NOLE MOL PI CILA, KALETI NOLE LETI CETKAIK MOL.	大きい時間(=長い時間)があってこそ、この時(=今)の机戦があります。	現在の姿になるのには長い時間を要しました。	and it took a long time for it to become what it is today.		
我々の文化3机戦の歴史	JO KA, TICOTIT METIOLIJU LETI TELEC AT TICOT, PI JO ACIL LETI AUC TECNULO MOLIP. MI CET XELIT KALETI XEP ZICEDOL!	ここでは、考古学の行為(=実際の発掘調査)や考え(=考古学的見解)を思って(=考えに入れ)、番組の全てにおいて誇張はありません。こうやって私たちはこの大きな歴史を見せます。	ここでは、考古学的な発掘と見解に基づきながら、全編ノンフィクションで、そんな悠大な歴史をお送りします。	Here is a non-fictional account of its long history, based on archaeological excavations and considerations.		
我々の文化3机戦の歴史	CETKAIK LETI PAC IT LETI NOLE AT JO AUC TUDE LETI JULO	机戦のし始める時と、全てへ行くこと	机戦の起源と伝播			
我々の文化3机戦の歴史	JO PAIKLENE LETI KAME POTO, JO KAME NOLE, CETKAIK E KILE?	ファイクレオネのどこから、いつ、机戦は来ました？	机戦はファイクレオネのどこでいつ生まれたのでしょうか？			
我々の文化3机戦の歴史	LATA CET LUKUPIT KA CET.	人たちはこれらを言います。	巷にはこういった話が伝わっています。			
我々の文化3机戦の歴史	"ALEC.LIN XELIT KULOC LUKUPIT ELMO LETI CUL PI, JO PEBUT CENE BELPICLETI UNDEMUNDELETI BELPIC KILE JO ALEC.LIN LETI NUKIL. KA E CETKAIK PAC IT LETI JULO."	「クレオスが戦闘を話す道具をアレス・リンが見て、机で遊べる平和な遊びがアレス・リンの心に来た。これが机戦の始まることである。」	「燐帝がクレオスの使っていた軍事会議用の道具を見て、机の上で遊べる平和なゲームを思いついた。これが机戦の始まりである」			
我々の文化3机戦の歴史	"CETKAIK LETI BELPICKANTEL MOL JO LANEME PENULLETI LUKUP-LUKUP"	「机戦の棋譜が、ラネーメの古い論にある」	「羅古論に机戦の棋譜が残されている」			
我々の文化3机戦の歴史	"JO CIKILIOTIJE MOL TUWACALIXA LETI CUL EZULO E CETKAIK LETI CEPKULANTE"	「スキュリオーティエにある宗教的儀式の方法は実は机戦のルールである」	「スキュリオーティエに記された祭祀の方法は実は机戦のルールである」			
我々の文化3机戦の歴史	"NOLE MOL LINA CET TUDEIT LUJOTZ0 PI IT BELPIC"	「時間ある印刷工たちが活字を移動させ遊びとした」	「暇を持て余した印刷業者が活字を動かして遊んでいた」			
我々の文化3机戦の歴史	"MO LETI CEP E LAUZA"	「文化の役所が作った」	「文化省が作った」			
我々の文化3机戦の歴史	PI KA CET E KADA PI E NICA. LECU E TIDEC JO LAPIMETE.	しかしながら、これらは俗であり誤っています。専門家に訊いてみましょう。	しかしながら、これらの説は俗説にすぎません。専門家に訊いてみましょう。			
我々の文化3机戦の歴史	INUCALITA KECTENE LETI TAP.CILXALAP XIZI LUKUPIT KA.	イヌサリタ大学のターフ・シールジャーラフさんはこれを言います。	イヌサリタ大学のターフ・シールジャーラフさんはこう語ります。			
我々の文化3机戦の歴史	"A. LUKUPIT KAME PI E PANKALETI. LUKUPIT CETKAIK LETI POTO MOLIP JO CIKILIOTIJE. CILA LETI JEXET NIP KILE JO NENI. KA MOL PI, A, CETKAIK JOL MOLIP JO XIPONTE LETI ADOLPUT NAT."	「えーとなに言えばいいかな。机戦を言う場所がスキュリオーティエ叙事詩にはないです。明確な証拠も地面から出て来ない。これがあって、えー、机戦は多分前半のアドルプドにはまだ存在しません。」	「えーとなに言えばいいかな。スキュリオーティエ叙事詩には机戦に関する記述が見当たらないんですよね。明確な証拠も出土してこない。ということで、えー、アドルプド時代前期にはまだ机戦は存在しなかったといえるでしょう。」			
我々の文化3机戦の歴史	CIKILOTIJE LETI DUXE E PENULLETI JO CETKAIK CILA. KA MOL PI CETKAIK E KILE JO LATOT? O ECTAL?	スキュリオーティエの詩は机戦より古いんです。これがあって、机戦はラートードから来る？またはエスタール？	スキュリオーティエ叙事詩は机戦よりも古いんですね。となると、机戦が生まれたのはラートード時代？それともエスタール時代？			
我々の文化3机戦の歴史	"PI, CO CET JOL CELENE LUKUPIT "CETKAIK DELU MOL JO KALETI NOLE". KA XOPE E NUCIK. LUKUPIT PANLETI PI, NUTOK MOL TOXA LETI XEP BEPALE, KA E KILE JO NENI. PI LATA CET LUCIT KA JO CETKAIK O NIP, MI CET NIP CENE LIJUIT KIJE KA CILA. "	「で、あなたたちは、『この時に机戦があったはずだ』ということを言いたいのでしょう。これも難しいです。一つ言うと、部屋のある石の大きい板、これは地面から出てきています。けれど、これを机戦に使っていたかどうか。それは私たちには分からないのです。」	「じゃあ『この時代には机戦があったはずだ』と言えるのがいつかというのが気になると思うんですけど、これも難しくて。一つ挙げると、マス目が彫られた石の板というのは発掘されているんですけど、これを机戦に使っていたかどうかなんて分からないわけですよ。」			
我々の文化3机戦の歴史	TAUPO DIXEC LETI KECTENE LETI PO.WOKMUT XIZI LETIT TUDE CUPOI LETI BEPALE PI LUKUPIT KA.	タウポ自然科学大学のポー・フオックムットさんは木の板を取り出し、こう語ります。	タウポ自然科学大学の羊黒家 (po1 huok2 mut2)さんは木製の板を取り出し、こう語ります。			
我々の文化3机戦の歴史	"CO XELIT KA. KALETI CUPOI LETI BEPALE E KILE JO LATOT LETI TAXU. LEKKALETI ANA PANLETI NUTOK MOL PI XEPECNE XOPE E PANKA. XIPAJU MOL PI, JOL TUDEIT ZO JO KA PI BELPICIT CETKAIK. JO KALETI NALU MI E TUWACA JO CETKAIK MOL JULO JO CILETI NOLE.	「これを見てください。この木製の板はラートードの遺跡から来たものです。81個のマス目があって、大きさもよい。くぼみがあって、きっとここに駒を行かせて机戦を遊んだのでしょう。この理由により、私はあの時における机戦の存在を信じています。	「これを見てください。これはラートード時代の遺跡から発掘された木製の板です。マスの数は81マス。大きさもちょうどよく、ここに駒を置いてゲームをしたと考えられるようなくぼみもあります。というわけで私はこの時代に机戦があったのではないかと考えます。」			
我々の文化3机戦の歴史	CILA-CILA, XELIT KALETI BEPALE PI E MELE JO MI CET TICOT KIJE LETI CETKAIK LUCLETI NUTOK. PI JO CELECTAL TAP.CILXALAP XIZI NIPIT KA.	たしかに、この板を見ると、私たちが知っている机戦が使うマス目に近いです。しかし一方でターフ・シールジャーラフさんはこれを否定します。	確かにこの板は見たところ私たちのよく知っている机戦に用いられているマスとよく似ています。ところが、一方でターフ・シールジャーラフさんはこれを否定します。			
我々の文化3机戦の歴史	"NUTOK LETI KIN E CETKAIK XALE, PI JO KALETI BEPALE LETI KILELETI POTO, CET XEP BEPALE KILE CILA. KA MOL PI LATA CET JOL LUCIT KA JO WAXECLETI.	マス目の数は机戦っぽいですけど、この板の出身地から、もっと大きい板が来ているんですよ。これがあるので、人々は多分これを別のに使っていました。	「四角の個数も机戦っぽいわけですけれど、この板と同じ場所からもっと大きい板が出土してるんですよね。ということで多分これは別の用途に使ってたんですよ。」			
我々の文化3机戦の歴史	TAP.CILXALAP XIZI TICOTIT "LATA CET LUCIT NUTOK MOL BEPALE PI KECO JOL LAUZAIT {⌛CUL は「道具」と読めるので別語にしたい} JO ELMELETI NOLE.".	ターフ・シールジャーラフさんは、「人々がマス目のある板を使って、たとえば戦争時に作戦を作っていたのでしょう」、と考えています。	ターフ・シールジャーラフさんは、マス目のある板は例えば戦争時に戦略を組む際に用いられていたのではないかと考えています。			
我々の文化3机戦の歴史	PI, WAXECLETI LIJULATA TICOTIT "KA E KINPIT KIN LETI CUL." O "LUCIT KA JO CODUIT LUJOT LETI NOLE.".	そして、別の学者は「これは数を数える道具だ」や「文字を刻むときにこれを使う」と考えています。	また、別の学者は計算の時に用いたとか、あるいは文字を彫る際に用いていたと主張する学者もいます。			
我々の文化3机戦の歴史	PI, JO CILETI NOLE NUXEP KIN LETI KANTEL AT JEXET MOL.	しかし、そのときについては少数の記述と証拠しかありません。	しかし、当時の資料は多くありません。			
我々の文化3机戦の歴史	"TUDEIT ZO LETI KANTEL MOL PI CILA, CILA LETI JEXET MOL PI, XEP NOLE E TUDE PI CILA KA E KILE JO MI CET."	「駒が行く本があってこそ、本当の証拠があるけど、大きい時間が行ってこそそれが私たちのもとに来る。(=時代が下らないとそれは出てきていない。)」	「駒の移動の記録があれば確実な証拠となるんだけれども、そういうのはだいぶ時代が下ってからしか出てこないんだよね。			
我々の文化3机戦の歴史	"CET PANKA TICOTIT CETKAIK LETI PET.NEBAIT XIZI MOL PI CI AT CILETI KUNCUK LETI BELPICIT CETKAIK LETI KANTEL MOL JO KALETI NOLE NAT."	「机戦をとてもよく思うペッ・ネバイトさんがいて、彼と彼の部下の机戦を遊んだ記述が今まだあります。」	星猫膠(pet2 ne2 bait) という無類の机戦好きがいて、彼の部下と対戦した対局を書き残した文章が今も残ってる。」			
我々の文化3机戦の歴史	"PI, CILA LETI JEXET PAC IT JO CILA LETI KALETI NOLE. KA MOL PI MI CET NIP TICOTIT KIJE CILA LETI JULO CILA."	「しかし、真の証拠は真にこの時に始まる(=その時より前にはない)。これがあるし、我々は実際のことを知らないのだ。」	「だけど、逆にこの時代にならないと本当の証拠はない。ということで真相は闇の中なんですよ。」			
我々の文化3机戦の歴史	KA MOL PI MI CET JOL NIP CENE TICOTIT KIJE CETKAIK PAC IT LETI NOLE NAT.	これがあっては私たちはまだ机戦が始まった時を知ることができないでしょう。	これではまだいつ机戦が始まったかは分からなさそうです。			
我々の文化3机戦の歴史	CILETI JUCNUKLETI LIJON E ULECEN JO TAP.ILIN.DEKUTAP XIZI. A, KALETI LIJON E KAME?	その驚く手がかりは、ターフ・イリーン・デクタフさんに隠れています。ああ、その手がかりとは何なのか。	その驚きの手がかりは、ターフ・イリーン・デクタフに隠されていたのです。一体その手がかりとは何なのか。			
我々の文化3机戦の歴史	A, KALETI NOLE XENLETI NOLE-ZO-CET!	あ、今7片時集だ！	あっ、もう7片時集だ！			
我々の文化3机戦の歴史	CO CELENE KUNLANIT JULO PI	あなたが物を食べたいなら、	小腹がすいたら			
我々の文化3机戦の歴史	JO KAME NOLE CETKAIK E KILE JUN? AUCLETI LATA NIP TICOTIT KIJE KA. KALETI NALU MI CET XELIT TAP.ILIN.DEKTAP, IPTON LETI DICTICLAUZAITE.	いつ机戦は来ましたか？すべての人はこれを知りません。このため、私達はターフ・イリーン・デクタフ、イフトーンの大工を見ます。	机戦がいつ始まったか、それはいまだに解かれていない謎です。そこでこの番組は、イフトーン時代の大工、ターフ・イリーン・デクタフに目を付けました。			
我々の文化3机戦の歴史	"MOL A, CI E KA."	「あるね。それはこれです。」	「ありました。これですね」			
我々の文化3机戦の歴史	JO TAP. ILIN.DEKTAP LUKUPLETI KANTEL MOL JO LANEME LANIJA LETI ACILTIDIP LETI TIDECLETI PIJAL.	ターフ・イリーン・デクタフと話した記録がラネーメ民族新聞の聞くメモにあります。	ラネーメ民族新聞社の取材メモに、ターフ・イリーン・デクタフへのインタビュー記録が残されておりました。			
我々の文化3机戦の歴史	"JO CILETI NOLE MI CET TUDEIT EZOC JO POLAKAIKA PI, JO INLIN LINMAN LETI XIPAJU MOL NUXEP CUPOI KILE JO NENI."	「そのとき私たちはポラカイカで川を移動させていて、途中で燐字の凹みのある小さな木が地面から来ました。」	「そのとき私たちはポラカイカで川を移動させる土木工事をしていました。すると作業中に燐字の彫られた木片が発掘されました」			
我々の文化3机戦の歴史	"XELIT KA PI MI TICOTIT KA DELU E CETKAIK LETI ZO. PI CETKAIK MOL JO CILETI NOLE. MAK PI KUWA MOL JO KALETI CETKAIK. MI E JUCNUK JO KA."	「これを見て、これは机戦の駒であるはずだと私は思いました。そして机戦があの時代にありました。さらにクワ（の駒）がこの机戦にありました。私はこれに驚きました。」	「これを見て私は机戦の駒に違いないと思いました。そしてこの時代から机戦が存在し、既に筆の駒があることに驚きました。」			
我々の文化3机戦の歴史	{⌛}		ターフ・シールジャーラフ氏はこの文献について次のように語ります。「こちらが彼が発見したとされる遺物のレプリカです。これが発見されたとき、学界は大きく盛り上がりました。というのもこの時点で筆の駒が存在したことは衝撃的だったからです。しかし、この「大発見」は後に大きく覆ることになります。」			
我々の文化3机戦の歴史	{⌛カットをミスって2秒ぐらい切り残されたCMがここに入る}		（（（カットをミスって2秒ぐらい切り残されたCMがここに入る）））			
我々の文化3机戦の歴史	{⌛}		「しかし、この「大発見」は後に大きく覆ることになります。後に鏡文字で「衣」、「白」と書かれた木片が見つかりました。それでこれは駒ではなく、粘土にこうやって押し付けて名前などを記録したものでないのかと今では考えられています。」			
我々の文化3机戦の歴史	{⌛}		{⌛}			
我々の文化3机戦の歴史	AUC LETI ZO LETIT WAXECLETI KIN JO PENULLETI NOLE. DAT MOL PI, XELIT DAT LETI ZO PI ATAKECIT KA CET LETI KIN.	古い時には、全ての駒は（それぞれ）異なった数を持っていました。役があったら、役の駒を見て、それたちの点数を足しました。	かつては駒それぞれに点数が決まっていて、役があればその分の加点がなされていました。			
我々の文化3机戦の歴史	KALETI PENULLETI KINPIT KIN LETI CUL, JO KALETI NOLE XOPE LUCIT CUL LETI IZOLE E LUKUPIT KA JO MI CET.	この古い数の数え方、今も（この）方法を使う老人が私たちにこれを話しました。	今でもこの古い計算法を使っているご老人に話を聞きました。			
我々の文化3机戦の歴史	JO KALZANE {⌛} PI {⌛}. JO AIL PANIT LETI CEPKULANTE, CAUPLA-CUCIT-DODO AT CAUPLA-DODO AT CAUPLA-CUCIT LETIT NIP WAXECLETI KIN. KA NIP E {⌛}	「近頃、足し算をするだけの簡単な計算法が流行っているけど、やっぱり一つ一つの駒の点数を無駄にしない机戦の方が正統だ。アイル統一机戦では、王虎馬と、王馬、王虎は異ならない点数を持つ。これは面白くない。」	「近頃では足し算をするだけの簡単な計算法が流行っているけど、やっぱり一つ一つの駒の点数を無駄にしない机戦の方が正統だ。アイル統一机戦では王虎馬と、王馬、王虎は同じ点数になってしまう。これは面白くない。」			
我々の文化3机戦の歴史	KALETI IZOLE LETI LUKUPLETI JULO E, CAUPLA E PANLETI KIN, CUCIT E XANTALETI ANZO, DODO E JUPLETI ANZO, CAUP E CETIT JO MAKLETI. LECU KINPIT KIN.	この老人が言うことは、王は一つの点数、虎は0.6、馬は0.4、獣は2に増やす。点数を計算してみましょう。	このご老人は王は1点、虎は0.6点、馬は0.4点、「獣」は2倍という風に言っていました。実際に計算してみましょう。			
我々の文化3机戦の歴史	CAUPLA-CUCIT-DODO E XANTALETI.	王・虎・馬 は 6。	王虎馬 ― 6			
我々の文化3机戦の歴史	CAUPLA-DODO E NOKALETI AT JUPLETI ANZO.	王・馬 は 5.4。	王馬 ― 5.4			
我々の文化3机戦の歴史	CAUPLA-CUCIT E NOKALETI AT XANTALETI.	王・虎 は 5.6。	王虎 ― 5.6			
我々の文化3机戦の歴史	CILA-CILA CENE TICOTIT KIJE WAXECLETI JULO.	たしかに、違う（という）ことを分かることができます。	確かに違いが見られます。			
我々の文化3机戦の歴史	DELNELETI CUCIT, DELNELETI ELME, LUDECLETI PIJUME, DELNELETI ELME, LUDECLETI ELME, DELNELETI XIJE, LUDECLETI CUCIT, DELNELETI DODO.	黒い虎・黒い兵・赤い船・黒い兵・赤い兵・黒い車・赤い虎・黒い馬	黒虎・黒兵・赤船・黒兵・赤兵・黒車・赤虎・黒馬			
我々の文化3机戦の歴史	KA MOL PI TUDE JO KAME? ATAKECIT AUC LETI ZO LETI KIN.	これがあったらどうなります？全ての駒の点数を足します。	こういう場合はどうでしょうか。全ての駒の点数を足します。			
我々の文化3机戦の歴史	XANTALETI ANZO, MAKLETI ANZO, ANZO, MAKLETI ANZO, MAKLETI ANZO, NOKALETI ANZO, XANTALETI ANZO, JUPLETI ANZO, ATAKECIT KA CET PI E MAKLETI AT LEKKALETI ANZO.	0.6, 0.2, 0.1, 0.2, 0.2, 0.5, 0.6, 0.4, これらを足したら 2.8。	0.6+0.2+0.1+0.2+0.2+0.5+0.6+0.4=2.8			
我々の文化3机戦の歴史	JO KALZANE {⌛} PI {⌛}. JO AIL PANIT LETI CEPKULANTE, CAUPLA-CUCIT-DODO AT CAUPLA-DODO AT CAUPLA-CUCIT LETIT NIP WAXECLETI KIN. KA NIP E {⌛}	役において、必要な駒が少ない役、これを2倍して加え、必要な駒が多い役、これを4倍して加えます。	役は必要な駒が少ないものを2倍、多いものを4倍して加えます。			
我々の文化3机戦の歴史	{⌛}		同色獣 (0.6+0.4) × 2 + 2 = 4.0、同色助友 (0.5+0.2+0.2) × 2 + 2 = 3.8、行行 (0.5+0.4+0.1) × 4 = 4.0 が加わり、14.6点を計上します。			
我々の文化3机戦の歴史	JO AIL PANIT LETI CETKAIK, ATAKECIT DUKALETI, MAKLETI, DUKALETI, MAKLETI, NOKALETI, PI KA E ANA NOKALETI. PENULLETI CUL E JONUC PI NUCET E WAXEC JO LACIKLETI CUL.	アイル統一机戦では、3, 2, 3, 2, 5, を足す、するとこれは 15。古い方法はつらいが簡単な方法とあまり異ならない。	アイル統一机戦では3+2+3+2+5 = 15です。古い方法は大変にもかかわらず簡単な方法と大差がありません。			
レヴェン・法・タムツイ	1. LUKUP-LUKUP PAC IT LETI POLTO	1. 議論のし始めるところ	1. はじめに			
レヴェン・法・タムツイ	LEXEL.PENTAP XIZI ICEIT AUC LETI KUNELETI JULO. LATA CET TICOT-TICOTIT KA. CI E LIPALAIN TICOTLATA.	レシェール・ヴェンタフは皆の知っているものである。人々はこう考えている。彼はリパラインの思想家であると。	レシェール先生(lexerl.ventaf)はリパラオネ思想家として知られているが、			
レヴェン・法・タムツイ	PI CILETI TICOT-TICOT E TAMZUWI LETI CELUN PI KA E JO LAPALAIN TICOT-TICOT LUKUPIT DITI TAMZUWI LETI JULO.	それで、その論は皇論の子供で、これはリパラインの論において新しい皇論を話したものである。	その思想は皇論の子であって、リパラオネ理論を用いて新しい皇論を論じたものである。			
机戦戦術研究テキスト	NEKUWAI		連将			
机戦戦術研究テキスト	KA E CET PENULLETI ELMELETI CUL.	これはとても古い戦術である。	古くからある戦術。			
机戦戦術研究テキスト	KA NIP E PANLETI CUL LETI PENTENLETI CUL PI JO PANLETI NOLE PANKA E TUDE PI CENE LUCUCIT BELPIC JO PANLETI XOT.	これは一つの術の対策方法ではないが、一度良く行くと遊戯を一つのショトで終わらせることができる。	何かの対策というものではないが一度ハマると一季でゲームを終わらせることもできる。			
机戦戦術研究テキスト	CO TUDEIT MAKLETI XAN JO PALBICLETI TANKE PI PECTELIT "TANKE LETI XAN" JO MICCA PI NECTUNLETI AUCLETI ZO CENE NIP ICEIT CILETI LETIT KIJE LETI JULO.	あなたが2つの将軍を繋がったタンケに行かせて、『タンケの上司』を互いに適用すると、隣接する全ての駒が相手による捕獲を受けないことができる	盤面の皇処に将を連続して並べ、「良い上司」をお互いに適用させることで周り１２マスの駒をすべて取れなくすることができる。			
机戦戦術研究テキスト	CO NIP CENE XOPE LETIT KIJE XAN PI CI LAUZAIT NEKUWAI PI KAPA MOLIP.	あなたは将をとることもできないので、相手が連将を作ると光がない。	将を取ることもできないので完成させられるとどうすることもできない。			
